item_id,effect_type,effect_stat,effect_power,status_id,status_trigger,status_chance,status_duration,status_stacks
2001,plus,str,2,,,,,
2002,plus,str,4,,,,,
2002,plus,dex,1,,,,,
4001,plus,vit,1,,,,,
4002,plus,dex,2,,,,,
4101,plus,vit,3,,,,,
5001,plus,str,2,,,,,
5002,plus,knockback,1,,,,,
5003,plus,vit,2,,,,,
2003,status,,,status.burn,on_hit,1,0,1
5101,status,,,status.burn,on_hit,1,0,1
2101,plus,str,1,,,,,
2102,plus,str,2,,,,,
2103,plus,str,4,,,,,
2103,status,,,status.armor_break,on_hit,0.2,0,1
2104,plus,str,6,,,,,
2104,status,,,status.armor_break,on_hit,0.2,0,1
2104,status,,,status.knockback,on_hit,0.35,0,1
2111,plus,str,1,,,,,
2112,plus,str,2,,,,,
2113,plus,str,4,,,,,
2113,status,,,status.armor_break,on_hit,0.2,0,1
2114,plus,str,6,,,,,
2114,status,,,status.armor_break,on_hit,0.2,0,1
2114,status,,,status.knockback,on_hit,0.35,0,1
2121,plus,str,1,,,,,
2122,plus,str,2,,,,,
2123,plus,str,4,,,,,
2123,status,,,status.armor_break,on_hit,0.2,0,1
2124,plus,str,6,,,,,
2124,status,,,status.armor_break,on_hit,0.2,0,1
2124,status,,,status.knockback,on_hit,0.35,0,1
2131,plus,str,1,,,,,
2132,plus,str,2,,,,,
2133,plus,str,4,,,,,
2133,status,,,status.armor_break,on_hit,0.2,0,1
2134,plus,str,6,,,,,
2134,status,,,status.armor_break,on_hit,0.2,0,1
2134,status,,,status.knockback,on_hit,0.35,0,1
4201,plus,resist_physical,2,,,,,
4201,plus,vit,1,,,,,
4202,plus,resist_physical,4,,,,,
4202,plus,vit,2,,,,,
4203,plus,resist_physical,7,,,,,
4203,plus,vit,3,,,,,
4204,plus,resist_electricity,2,,,,,
4204,plus,vit,1,,,,,
4205,plus,resist_electricity,4,,,,,
4205,plus,vit,2,,,,,
4206,plus,resist_electricity,7,,,,,
4206,plus,vit,3,,,,,
4207,plus,resist_ice,2,,,,,
4207,plus,vit,1,,,,,
4208,plus,resist_ice,4,,,,,
4208,plus,vit,2,,,,,
4209,plus,resist_ice,7,,,,,
4209,plus,vit,3,,,,,
4210,plus,resist_fire,2,,,,,
4210,plus,vit,1,,,,,
4211,plus,resist_fire,4,,,,,
4211,plus,vit,2,,,,,
4212,plus,resist_fire,7,,,,,
4212,plus,vit,3,,,,,
4213,plus,resist_acid,2,,,,,
4213,plus,vit,1,,,,,
4214,plus,resist_acid,4,,,,,
4214,plus,vit,2,,,,,
4215,plus,resist_acid,7,,,,,
4215,plus,vit,3,,,,,
4216,plus,resist_darkness,2,,,,,
4216,plus,vit,1,,,,,
4217,plus,resist_darkness,4,,,,,
4217,plus,vit,2,,,,,
4218,plus,resist_darkness,7,,,,,
4218,plus,vit,3,,,,,
4401,plus,str,1,,,,,
4401,plus,knockback_bonus,1,,,,,
4402,plus,int,1,,,,,
4402,plus,magic_range_bonus,1,,,,,
4403,plus,dex,1,,,,,
4403,plus,dodge_distance_bonus,1,,,,,
4404,plus,vit,1,,,,,
4404,plus,healing_received_bonus,1,,,,,
4405,plus,spi,1,,,,,
4405,plus,mana_regen_bonus,1,,,,,
4406,plus,vit,1,,,,,
4406,plus,physical_damage_reduction,1,,,,,
4407,plus,luk,1,,,,,
4407,plus,item_find_bonus,1,,,,,
4408,plus,int,1,,,,,
4408,plus,mana_cost_reduction,1,,,,,
4409,plus,str,1,,,,,
4409,plus,combo_finisher_damage,1,,,,,
4410,plus,spi,1,,,,,
4410,plus,experience_gain_bonus,1,,,,,
4301,plus,str,1,,,,,
4421,plus,magic_range_bonus,1,,,,,
1101,plus,heal_hp,25,,,,,
1102,plus,heal_hp,50,,,,,
1103,plus,heal_hp,100,,,,,
1104,plus,heal_hp,180,,,,,
1111,plus,restore_mana,20,,,,,
1112,plus,restore_mana,45,,,,,
1113,plus,restore_mana,90,,,,,
1114,plus,restore_mana,160,,,,,
1121,plus,str,1,,,,,
1122,plus,dex,1,,,,,
1123,plus,vit,1,,,,,
1124,plus,int,1,,,,,
1125,plus,spi,1,,,,,
1126,plus,defense,1,,,,,
1127,plus,luk,1,,,,,
1131,plus,grant_xp,100,,,,,
