id,name,description,rarity,sell_value,category,subtype,max_stack,icon_path,weapon_up_draw_path,weapon_down_draw_path,weapon_up_stow_path,weapon_down_stow_path,combo_profile_path,upgrade_rune_slots,has_elemental_rune_slot,rune_kind,rune_element,magic_shape
1001,Small Health Potion,Restores a small amount of HP,Common,5,Consumable,Potion,99,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
2001,Rusted Sword,An old blade with low durability,Common,10,Weapon,Sword,1,res://ArtAssets/InventoryItems/GearIcons/Rusty_Short_Sword_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/rusted_sword_combo.tres,0,false,,,
2002,Iron Longsword,Reliable steel blade,Uncommon,18,Weapon,Sword,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/iron_longsword_combo.tres,0,false,,,
2003,Debug Socket Sword,A workbench test blade with rune sockets,Uncommon,1,Weapon,Sword,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/debug_sword_combo.tres,2,true,,,
2004,Ember Scepter,A debug caster weapon for cone and area magic combos,Uncommon,1,Weapon,Staff,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/ember_scepter_combo.tres,1,true,,,
2005,Stonebreaker Maul,A debug heavy weapon with a hold-to-charge slam,Uncommon,1,Weapon,Maul,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/stonebreaker_maul_combo.tres,0,false,,,
2006,Gale Knife,A debug dagger with a fast looping flurry combo,Uncommon,1,Weapon,Dagger,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/gale_knife_combo.tres,0,false,,,
3001,Copper Ore,Base crafting ore,Common,2,Crafting,Ore,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3002,Training Wood,Debug crafting wood from the interaction scene,Common,1,Crafting,Wood,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
4001,Leather Cap,Simple head protection,Common,8,Armor,Head,1,res://ArtAssets/InventoryItems/GearIcons/tile079.png,,,,,,,,,,
4002,Traveler Hood,Lightweight hood armor,Uncommon,12,Armor,Head,1,res://ArtAssets/InventoryItems/GearIcons/tile076.png,,,,,,,,,,
4101,Padded Vest,Simple chest protection,Common,9,Armor,Chest,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
5001,Minor Strength Rune,Upgrade rune that increases strength,Common,3,Rune,Upgrade,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,Upgrade,,
5002,Minor Knockback Rune,Upgrade rune that increases knockback,Common,3,Rune,Upgrade,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,Upgrade,,
5003,Minor Vitality Rune,Upgrade rune that increases vitality,Common,3,Rune,Upgrade,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,Upgrade,,
5101,Fire Bolt Rune,Elemental rune: Fire ProjectileBolt,Common,4,Rune,Elemental,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,Elemental,Fire,ProjectileBolt
5102,Fire Cone Rune,Elemental rune: Fire Cone,Common,4,Rune,Elemental,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,Elemental,Fire,Cone
5103,Fire Line Rune,Elemental rune: Fire Linear,Common,4,Rune,Elemental,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,Elemental,Fire,Linear
5104,Fire Circle Wave Rune,Elemental rune: Fire CircleWaveAwayFromPlayer,Common,4,Rune,Elemental,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,Elemental,Fire,CircleWaveAwayFromPlayer
5111,Ice Bolt Rune,Elemental rune: Ice ProjectileBolt,Common,4,Rune,Elemental,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,Elemental,Ice,ProjectileBolt
5121,Electricity Line Rune,Elemental rune: Electricity Linear,Common,4,Rune,Elemental,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,Elemental,Electricity,Linear
5131,Acid Cone Rune,Elemental rune: Acid Cone,Common,4,Rune,Elemental,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,Elemental,Acid,Cone
5141,Darkness Circle Wave Rune,Elemental rune: Darkness CircleWaveAwayFromPlayer,Common,4,Rune,Elemental,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,Elemental,Darkness,CircleWaveAwayFromPlayer
2101,Ashen Shortblade,A plain shortblade with a heat-darkened edge.,Common,22,Weapon,Sword,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/ashen_shortblade_combo.tres,1,false,,,
2102,Dawnsteel Saber,A balanced saber forged from bright steel.,Uncommon,46,Weapon,Sword,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/dawnsteel_saber_combo.tres,2,true,,,
2103,Oathcarver,A knightly sword etched with old vows.,Rare,92,Weapon,Sword,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/oathcarver_combo.tres,3,true,,,
2104,Starfall Edge,A heroic blade said to hold a fallen star shard.,Epic,180,Weapon,Sword,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/starfall_edge_combo.tres,4,true,,,
2111,Stonebud Cudgel,A compact mace capped with river stone.,Common,24,Weapon,Mace,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/stonebud_cudgel_combo.tres,0,false,,,
2112,Ironbell Mace,A ringing iron mace with a hollow head.,Uncommon,50,Weapon,Mace,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/ironbell_mace_combo.tres,1,true,,,
2113,Saintbreaker,A heavy mace built to crack sanctified armor.,Rare,98,Weapon,Mace,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/saintbreaker_combo.tres,2,true,,,
